#,Country,"GDP (nominal, 2023)",GDP (abbrev.),GDP Growth,Population 2023,GDP per capita,Share of World GDP
46,Chile,"$335,533,000,000",335.533 billion,0.22%,"19,658,835","$17,068",0.32%
47,Finland,"$295,532,000,000",295.532 billion,â1.16%,"5,601,185","$52,762",0.28%
48,Portugal,"$289,114,000,000",289.114 billion,2.53%,"10,430,738","$27,718",0.27%
49,Peru,"$267,603,000,000",267.603 billion,â0.55%,"33,845,617","$7,907",0.25%
50,Kazakhstan,"$262,642,000,000",262.642 billion,5.1%,"20,330,104","$12,919",0.25%
51,New Zealand,"$252,176,000,000",252.176 billion,0.73%,"5,172,836","$48,750",0.24%
52,Iraq,"$250,843,000,000",250.843 billion,â2.94%,"45,074,049","$5,565",0.24%
53,Algeria,"$247,626,000,000",247.626 billion,4.1%,"46,164,219","$5,364",0.23%
54,Greece,"$243,498,000,000",243.498 billion,2.33%,"10,242,908","$23,772",0.23%
55,Qatar,"$213,003,000,000",213.003 billion,1.19%,"2,979,082","$71,500",0.20%
56,Hungary,"$212,389,000,000",212.389 billion,â0.91%,"9,686,463","$21,926",0.20%
57,Ukraine,"$178,757,000,000",178.757 billion,5.32%,"37,732,836","$4,737",0.17%
58,Kuwait,"$163,705,000,000",163.705 billion,â3.64%,"4,838,782","$33,832",0.15%
59,Ethiopia,"$163,698,000,000",163.698 billion,6.5%,"128,691,692","$1,272",0.15%
60,Morocco,"$144,417,000,000",144.417 billion,3.4%,"37,712,505","$3,829",0.14%
61,Slovakia,"$132,908,000,000",132.908 billion,1.38%,"5,518,055","$24,086",0.13%
62,Dominican Republic,"$121,444,000,000",121.444 billion,2.36%,"11,331,265","$10,718",0.11%
63,Ecuador,"$118,845,000,000",118.845 billion,2.36%,"17,980,083","$6,610",0.11%
64,Sudan,"$109,266,000,000",109.266 billion,â20.11%,"50,042,791","$2,183",0.10%
65,Oman,"$108,811,000,000",108.811 billion,1.31%,"5,049,269","$21,550",0.10%
66,Kenya,"$108,039,000,000",108.039 billion,5.56%,"55,339,003","$1,952",0.10%
67,Guatemala,"$104,450,000,000",104.45 billion,3.53%,"18,124,838","$5,763",0.098%
68,Bulgaria,"$102,408,000,000",102.408 billion,1.89%,"6,795,803","$15,069",0.096%
69,Uzbekistan,"$101,592,000,000",101.592 billion,6.29%,"35,652,307","$2,850",0.096%
70,Costa Rica,"$86,497,941,439",86.498 billion,5.11%,"5,105,525","$16,942",0.081%
71,Luxembourg,"$85,755,006,124",85.755 billion,â1.1%,"665,098","$128,936",0.081%
72,Angola,"$84,824,654,482",84.825 billion,1%,"36,749,906","$2,308",0.080%
73,Croatia,"$84,393,795,502",84.394 billion,3.3%,"3,896,023","$21,662",0.079%
74,Sri Lanka,"$84,356,863,744",84.357 billion,â2.3%,"22,971,617","$3,672",0.079%
75,Panama,"$83,318,176,900",83.318 billion,7.4%,"4,458,759","$18,686",0.078%
76,Serbia,"$81,342,660,752",81.343 billion,3.85%,"6,773,201","$12,009",0.077%
77,Lithuania,"$79,789,877,416",79.79 billion,0.34%,"2,854,099","$27,956",0.075%
78,Tanzania,"$79,062,403,821",79.062 billion,5.07%,"66,617,606","$1,187",0.074%
79,CÃ´te d'Ivoire,"$78,875,489,245",78.875 billion,6.2%,"31,165,654","$2,531",0.074%
80,Uruguay,"$77,240,830,877",77.241 billion,0.37%,"3,388,081","$22,798",0.073%
81,Ghana,"$76,370,396,722",76.37 billion,2.94%,"33,787,914","$2,260",0.072%
82,Azerbaijan,"$72,356,176,471",72.356 billion,1.12%,"10,318,207","$7,012",0.068%
83,Belarus,"$71,857,382,746",71.857 billion,3.89%,"9,115,680","$7,883",0.068%
84,Slovenia,"$69,148,468,417",69.148 billion,2.11%,"2,118,396","$32,642",0.065%
85,Myanmar,"$66,757,619,000",66.758 billion,0.96%,"54,133,798","$1,233",0.063%
86,DR Congo,"$66,383,287,003",66.383 billion,8.56%,"105,789,731",$628,0.063%
87,Turkmenistan,"$60,628,857,143",60.629 billion,6.3%,"7,364,438","$8,233",0.057%
88,Jordan,"$50,967,475,352",50.967 billion,2.68%,"11,439,213","$4,456",0.048%
89,Cameroon,"$49,279,410,983",49.279 billion,3.25%,"28,372,687","$1,737",0.046%
90,Uganda,"$48,768,955,863",48.769 billion,5.34%,"48,656,601","$1,002",0.046%
91,Tunisia,"$48,529,595,417",48.53 billion,0.04%,"12,200,431","$3,978",0.046%
92,Bahrain,"$46,079,867,021",46.08 billion,2.98%,"1,569,666","$29,356",0.043%
93,Macao,"$45,803,067,940",45.803 billion,75.06%,"713,912","$64,158",0.043%
94,Bolivia,"$45,135,398,009",45.135 billion,3.08%,"12,244,159","$3,686",0.043%
95,Libya,"$45,096,462,972",45.096 billion,10.16%,"7,305,659","$6,173",0.042%
96,Paraguay,"$42,956,263,544",42.956 billion,4.71%,"6,844,146","$6,276",0.040%
97,Cambodia,"$42,335,646,896",42.336 billion,4.96%,"17,423,880","$2,430",0.040%
98,Latvia,"$42,247,850,065",42.248 billion,1.71%,"1,882,396","$22,444",0.040%
99,Estonia,"$41,291,245,222",41.291 billion,â3.02%,"1,367,196","$30,201",0.039%
100,Nepal,"$40,908,073,367",40.908 billion,1.95%,"29,694,614","$1,378",0.039%
101,Zimbabwe,"$35,231,367,886",35.231 billion,5.34%,"16,340,822","$2,156",0.033%
102,Honduras,"$34,400,509,852",34.401 billion,3.58%,"10,644,851","$3,232",0.032%
103,El Salvador,"$34,015,620,000",34.016 billion,3.51%,"6,309,624","$5,391",0.032%
104,Cyprus,"$33,886,930,712",33.887 billion,2.61%,"1,344,976","$25,195",0.032%
105,Iceland,"$31,325,116,556",31.325 billion,5.04%,"387,558","$80,827",0.030%
106,Senegal,"$30,848,333,084",30.848 billion,4.58%,"18,077,573","$1,706",0.029%
107,Georgia,"$30,777,833,585",30.778 billion,7.83%,"3,807,492","$8,083",0.029%
108,Papua New Guinea,"$30,729,242,919",30.729 billion,3.04%,"10,389,635","$2,958",0.029%
109,Zambia,"$27,577,956,471",27.578 billion,5.37%,"20,723,965","$1,331",0.026%
110,Bosnia and Herzegovina,"$27,514,782,476",27.515 billion,2.21%,"3,185,073","$8,639",0.026%
111,Trinidad and Tobago,"$27,372,285,698",27.372 billion,1.35%,"1,502,932","$18,213",0.026%
112,Armenia,"$24,085,749,592",24.086 billion,8.3%,"2,943,393","$8,183",0.023%
113,Albania,"$23,547,179,830",23.547 billion,3.94%,"2,811,655","$8,375",0.022%
114,Malta,"$22,328,640,242",22.329 billion,7.5%,"532,956","$41,896",0.021%
115,Guinea,"$22,199,409,741",22.199 billion,6.74%,"14,405,468","$1,541",0.021%
116,Mozambique,"$20,954,220,984",20.954 billion,5.44%,"33,635,160",$623,0.020%
117,Mali,"$20,661,794,596",20.662 billion,4.66%,"23,769,127",$869,0.019%
118,Mongolia,"$20,325,121,394",20.325 billion,7.42%,"3,431,932","$5,922",0.019%
119,Burkina Faso,"$20,324,617,845",20.325 billion,2.96%,"23,025,776",$883,0.019%
120,Haiti,"$19,850,829,758",19.851 billion,â1.86%,"11,637,398","$1,706",0.019%
121,Benin,"$19,676,049,076",19.676 billion,6.35%,"14,111,034","$1,394",0.019%
122,Jamaica,"$19,423,355,409",19.423 billion,2.2%,"2,839,786","$6,840",0.018%
123,Botswana,"$19,396,084,498",19.396 billion,2.73%,"2,480,244","$7,820",0.018%
124,Gabon,"$19,388,402,542",19.388 billion,2.45%,"2,484,789","$7,803",0.018%
125,Nicaragua,"$17,829,218,219",17.829 billion,4.57%,"6,823,613","$2,613",0.017%
126,State of Palestine,"$17,420,800,000",17.421 billion,â5.41%,"5,409,202","$3,221",0.016%
127,Afghanistan,"$17,233,051,620",17.233 billion,2.71%,"41,454,761",$416,0.016%
128,Guyana,"$17,159,509,565",17.16 billion,33.8%,"826,353","$20,765",0.016%
129,Niger,"$16,819,170,421",16.819 billion,2.5%,"26,159,867",$643,0.016%
130,Moldova,"$16,539,436,547",16.539 billion,0.78%,"3,067,070","$5,393",0.016%
131,Laos,"$15,843,155,731",15.843 billion,3.75%,"7,664,993","$2,067",0.015%
132,Madagascar,"$15,790,113,247",15.79 billion,3.8%,"31,195,932",$506,0.015%
133,North Macedonia,"$15,763,621,848",15.764 billion,2.07%,"1,831,802","$8,606",0.015%
134,Congo,"$15,321,055,823",15.321 billion,1.91%,"6,182,885","$2,478",0.014%
135,Brunei,"$15,128,292,981",15.128 billion,1.41%,"458,949","$32,963",0.014%
136,Mauritius,"$14,644,524,819",14.645 billion,6.96%,"1,273,588","$11,499",0.014%
137,Bahamas,"$14,338,500,000",14.338 billion,2.64%,"399,440","$35,897",0.014%
138,Rwanda,"$14,097,768,472",14.098 billion,8.24%,"13,954,471","$1,010",0.013%
139,Kyrgyzstan,"$13,987,627,909",13.988 billion,6.15%,"7,073,516","$1,977",0.013%
140,Chad,"$13,149,325,362",13.149 billion,4.12%,"19,319,064",$681,0.012%
141,Malawi,"$12,712,150,082",12.712 billion,1.89%,"21,104,482",$602,0.012%
142,Namibia,"$12,351,025,067",12.351 billion,4.16%,"2,963,095","$4,168",0.012%
143,Equatorial Guinea,"$12,337,550,584",12.338 billion,â5.09%,"1,847,549","$6,678",0.012%
144,Tajikistan,"$12,060,602,009",12.061 billion,8.3%,"10,389,799","$1,161",0.011%
145,Mauritania,"$10,651,709,411",10.652 billion,6.51%,"5,022,441","$2,121",0.010%
146,Togo,"$9,171,261,838",9.171 billion,6.41%,"9,304,337",$986,0.0086%
147,Montenegro,"$7,530,593,375",7.531 billion,6.34%,"633,552","$11,886",0.0071%
148,Barbados,"$6,720,733,200",6.721 billion,4.09%,"282,336","$23,804",0.0063%
149,Maldives,"$6,590,894,302",6.591 billion,4.73%,"525,994","$12,530",0.0062%
150,Sierra Leone,"$6,411,869,546",6.412 billion,5.71%,"8,460,512",$758,0.0060%
151,Fiji,"$5,442,046,565",5.442 billion,7.52%,"924,145","$5,889",0.0051%
152,Eswatini,"$4,442,875,788",4.443 billion,5.01%,"1,230,506","$3,611",0.0042%
153,Liberia,"$4,240,000,000",4.24 billion,4.68%,"5,493,031",$772,0.0040%
154,Andorra,"$3,785,067,332",3.785 billion,2.58%,"80,856","$46,812",0.0036%
155,Aruba,"$3,648,573,136",3.649 billion,4.26%,"107,939","$33,802",0.0034%
156,Suriname,"$3,455,146,281",3.455 billion,2.54%,"628,886","$5,494",0.0033%
157,Belize,"$3,066,850,000",3.067 billion,1.15%,"411,106","$7,460",0.0029%
158,Burundi,"$2,642,161,669",2.642 billion,2.7%,"13,689,450",$193,0.0025%
159,Central African Republic,"$2,555,492,085",2.555 billion,0.87%,"5,152,421",$496,0.0024%
160,Cabo Verde,"$2,533,819,406",2.534 billion,5.48%,"522,331","$4,851",0.0024%
161,Saint Lucia,"$2,430,148,148",2.43 billion,2.21%,"179,285","$13,555",0.0023%
162,Gambia,"$2,396,111,022",2.396 billion,4.8%,"2,697,845",$888,0.0023%
163,Seychelles,"$2,141,450,171",2.141 billion,3.16%,"127,951","$16,736",0.0020%
164,Lesotho,"$2,117,962,451",2.118 billion,1.83%,"2,311,472",$916,0.0020%
165,Timor-Leste,"$2,079,916,900",2.08 billion,â18.12%,"1,384,286","$1,503",0.0020%
166,Guinea-Bissau,"$2,048,348,108",2.048 billion,5.2%,"2,153,339",$951,0.0019%
167,Antigua and Barbuda,"$2,033,085,185",2.033 billion,3.86%,"93,316","$21,787",0.0019%
168,Solomon Islands,"$1,633,319,401",1.633 billion,3.08%,"800,005","$2,042",0.0015%
169,Comoros,"$1,352,380,971",1.352 billion,3%,"850,387","$1,590",0.0013%
170,Grenada,"$1,316,733,333",1.317 billion,3.57%,"117,081","$11,246",0.0012%
171,Vanuatu,"$1,126,313,359",1.126 billion,2.21%,"320,409","$3,515",0.0011%
172,St. Vincent & Grenadines,"$1,065,962,963",1.066 billion,6.02%,"101,323","$10,520",0.0010%
173,Saint Kitts & Nevis,"$1,055,499,778",1.055 billion,2.28%,"46,758","$22,574",0.00099%
174,Samoa,"$938,189,444",938.189 million,8.58%,"216,663","$4,330",0.00088%
175,Sao Tome & Principe,"$678,976,265",678.976 million,0.37%,"230,871","$2,941",0.00064%
176,Dominica,"$653,992,593",653.993 million,4.71%,"66,510","$9,833",0.00062%
177,Micronesia,"$460,000,000",460 million,0.78%,"112,630","$4,084",0.00043%
178,Palau,"$281,849,063",281.849 million,1.88%,"17,727","$15,899",0.00027%
179,Kiribati,"$279,208,903",279.209 million,4.12%,"132,530","$2,107",0.00026%
180,Marshall Islands,"$259,300,000",259.3 million,â3.93%,"38,827","$6,678",0.00024%
181,Tuvalu,"$62,280,312",62.28 million,3.85%,"9,816","$6,345",0.000059%
